pi,country,region,score.prc,score.temp,score
IS25989,Mali,West Africa,0.166666667,0,0.166666667
IS26000,Mali,West Africa,0,0,0
IS26005,Mali,West Africa,0,0,0
IS26008,Mali,West Africa,0,0,0
IS26025,Mali,West Africa,0,0,0
IS26031,Mali,West Africa,0.166666667,0.272727273,0.439393939
IS26056,Mali,West Africa,0.166666667,0.090909091,0.257575758
IS26072,Mali,West Africa,0,0.272727273,0.272727273
IS26090,Mali,West Africa,0,0,0
IS26091,Mali,West Africa,0,0,0
IS26101,Mali,West Africa,0,0,0
IS26103,Mali,West Africa,0,0,0
IS26108,Mali,West Africa,0,0,0
IS26110,Mali,West Africa,0,0,0
IS26123,Mali,West Africa,0,0,0
IS26131,Mali,West Africa,0,0,0
IS26136,Mali,West Africa,0,0,0
IS26137,Mali,West Africa,0,0,0
IS26142,Mali,West Africa,0,0.363636364,0.363636364
IS26147,Mali,West Africa,0,0,0
IS26148,Mali,West Africa,0.166666667,0.090909091,0.257575758
IS26198,Togo,West Africa,0,0.090909091,0.090909091
IS26222,Togo,West Africa,0,0.545454545,0.545454545
IS26224,Togo,West Africa,0,0,0
IS26282,Togo,West Africa,0,0.545454545,0.545454545
IS26285,Togo,West Africa,0.166666667,0.090909091,0.257575758
IS26370,Togo,West Africa,0,0,0
IS26376,Togo,West Africa,0,0,0
IS26390,Togo,West Africa,0,0,0
IS26404,Togo,West Africa,0,0,0
IS26419,Benin,West Africa,0,0,0
IS26434,Benin,West Africa,0,0,0
IS26485,Benin,West Africa,0,0,0
IS26516,Benin,West Africa,0,0.545454545,0.545454545
IS26532,Benin,West Africa,0,0,0
IS26540,Benin,West Africa,0,0.090909091,0.090909091
IS26548,Benin,West Africa,0,0.090909091,0.090909091
IS26565,Benin,West Africa,0,0,0
IS26566,Benin,West Africa,0,0,0
IS26575,Benin,West Africa,0,0.090909091,0.090909091
IS26576,Benin,West Africa,0,0,0
IS26579,Benin,West Africa,0,0,0
IS26588,Benin,West Africa,0,0,0
IS26594,Benin,West Africa,0,0.090909091,0.090909091
IS26596,Benin,West Africa,0,0,0
IS26598,Benin,West Africa,0,0.363636364,0.363636364
IS26602,Benin,West Africa,0,0,0
IS26634,Zambia,East Africa,0,0,0
IS26635,Zambia,East Africa,0,0,0
IS26638,Zambia,East Africa,0,0,0
IS26641,Zambia,East Africa,0,0,0
IS26821,Yemen,West Asia,0,0,0
IS26827,Yemen,West Asia,0,0,0
IS26837,South Sudan,East Africa,0,0,0
IS26925,India,South Asia,0,0,0
IS26978,India,South Asia,0,0,0
IS26991,India,South Asia,0,0,0
IS26993,India,South Asia,0.166666667,0,0.166666667
IS27003,India,South Asia,0,0,0
IS27071,Zimbabwe,East Africa,0.166666667,0,0.166666667
IS27087,Zimbabwe,East Africa,0,0,0
IS27100,Zimbabwe,East Africa,0.166666667,0,0.166666667
IS27123,Zimbabwe,East Africa,0,0,0
IS27129,Zimbabwe,East Africa,0,0,0
IS27132,Zimbabwe,East Africa,0,0,0
IS27137,Zimbabwe,East Africa,0,0,0
IS27139,Zimbabwe,East Africa,0,0,0
IS27146,Zimbabwe,East Africa,0,0,0
IS27156,Zimbabwe,East Africa,0,0,0
IS27164,Zimbabwe,East Africa,0,0,0
IS27165,Zimbabwe,East Africa,0,0,0
IS27167,Zimbabwe,East Africa,0.166666667,0,0.166666667
IS27169,Zimbabwe,East Africa,0,0,0
IS27179,Zimbabwe,East Africa,0,0,0
IS27215,Zimbabwe,East Africa,0,0,0
IS27222,Zimbabwe,East Africa,0.166666667,0.090909091,0.257575758
IS27233,Zimbabwe,East Africa,0,0,0
IS27253,Zimbabwe,East Africa,0,0,0
IS27287,Burkina Faso,West Africa,0,0.181818182,0.181818182
IS27292,Burkina Faso,West Africa,0,0,0
IS27336,Burkina Faso,West Africa,0,0,0
IS27387,Burkina Faso,West Africa,0,0,0
IS27393,Burkina Faso,West Africa,0,0.454545455,0.454545455
IS27490,Burkina Faso,West Africa,0,0,0
IS27502,Burkina Faso,West Africa,0,0,0
IS27527,Burkina Faso,West Africa,0,0.090909091,0.090909091
IS27557,Burkina Faso,West Africa,0,0.636363636,0.636363636
IS27587,Cameroon,Central Africa,0,0,0
IS27599,Cameroon,Central Africa,0,0,0
IS27680,Sierra Leone,West Africa,0.333333333,0.181818182,0.515151515
IS27697,Sierra Leone,West Africa,0.333333333,0.272727273,0.606060606
IS27708,Sierra Leone,West Africa,0.333333333,0.181818182,0.515151515
IS27717,Sierra Leone,West Africa,0.333333333,0.181818182,0.515151515
IS27726,Sierra Leone,West Africa,0.166666667,0.181818182,0.348484848
IS27736,Sierra Leone,West Africa,0.333333333,0.181818182,0.515151515
IS27740,Sierra Leone,West Africa,0.166666667,0.090909091,0.257575758
IS27766,Sierra Leone,West Africa,0.333333333,0.181818182,0.515151515
IS27775,Sierra Leone,West Africa,0.166666667,0.090909091,0.257575758
IS27855,South Africa,South Africa,0,0,0
IS27858,South Africa,South Africa,0,0,0
IS27859,South Africa,South Africa,0,0,0
IS27887,South Africa,South Africa,0,0,0
IS27912,South Africa,South Africa,0,0,0
IS27942,Yemen,West Asia,0,0,0
IS28036,Yemen,West Asia,0,0,0
IS28086,Yemen,West Asia,0,0,0
IS28141,Yemen,West Asia,0,0,0
IS28143,Yemen,West Asia,0,0,0
IS28313,Yemen,West Asia,0,0,0
IS28317,Yemen,West Asia,0,0,0
IS28332,Yemen,West Asia,0,0,0
IS28444,Yemen,West Asia,0,0,0
