"","pet_min","AridityIndex","max_heat_index","ann_heat_index","coldindex.mean","coldindex.min"
"PI329475.D1G0BACXX.7.250130021",-13.9654173843309,934.489676524266,-6.11493023799483,-4.72648895136739,0.515392302246712,0.560930148482607
"PI329476.D1G0BACXX.7.250130033",-55.4727224897509,148.822738756363,-5.66032502364082,-4.66555896281815,0.723000140302975,0.787117781530961
"PI329477.D1G0BACXX.7.250130045",-15.2634067300211,966.05242573583,-6.24270094569585,-5.09206181006999,0.575332693603118,0.640749008852852
"PI329478.D1G0BACXX.7.250130057",-14.2185312514179,939.341203118328,-6.06211151048311,-4.95163433784797,0.561772391517563,0.629421290647887
"PI329480.D1G0BACXX.7.250130069",-14.6318046995304,873.356751125916,-6.09735957277683,-5.01085229993348,0.569556029460094,0.635707568075509
"PI329501.D1G0BACXX.7.250130081",-14.57507957713,1137.85829967751,-6.30315379700608,-4.95796221210885,0.546190759085143,0.605149528688426
"PI329504.D1G0BACXX.7.250130093",-13.4685360061729,1072.30917933471,-6.50268967218304,-4.92944934768965,0.534821327571644,0.58594125948694
"PI329506.D1G0BACXX.7.250130010",-13.9984516943362,694.254830333223,-5.89271927050501,-4.68215059087392,0.518608847447472,0.575494664318108
"PI329510.D1G0BACXX.7.250130022",-0.000135829350974232,-2110.76140729242,0.163086970226283,-0.408331761772888,0.117953104855892,0.149886683159623
"PI329511.D1G0BACXX.7.250130034",3.82102315031596,-1887.56547124243,0.361998470132879,0.230813516872938,0.0326435541949709,0.0338621882609971
"PI329517.D1G0BACXX.7.250130046",-14.5920115202246,1135.21174931521,-6.09589043596124,-4.87751722849755,0.541448396654912,0.599769496555666
"PI329518.D1G0BACXX.7.250130058",-13.1248436002461,1106.57819213134,-6.67914079450736,-4.98501243982657,0.533617304827053,0.586219573979764
"PI329519.D1G0BACXX.7.250130070",-14.5196659518334,1023.69469409499,-6.43203092467411,-4.92479485662916,0.535243491947207,0.585538292274505
"PI329540.D1G0BACXX.7.250130082",-2.04804220907768,-445.368194353273,-3.144858137606,-2.41242471741982,0.260894054276625,0.290786705940105
"PI329541.D1G0BACXX.7.250130094",-12.6712024499295,1026.76068905061,-5.95475974810035,-4.44761576514254,0.47476255767744,0.51397177797674
"PI329545.D1G0BACXX.7.250130011",-9.41413027135394,16.7817202312849,-3.90877253535257,-3.11420088511249,0.351680056242749,0.38582709211452
"PI329546.D1G0BACXX.7.250129919",-9.14448962385496,-129.489246431303,-3.87683150554382,-3.02432243829209,0.340668043137407,0.375994507851979
"PI329550.D1G0BACXX.7.250130035",-17.257734250493,1197.74062817971,-5.99815970945165,-4.65653501038101,0.519804093322024,0.557705015781975
